Title;Release_Date;Developers;Summary;Platforms;Genres;Rating;Plays;Playing;esrb_rating
The Legend of Zelda: Tears of the Kingdom;May 12, 2023;['Nintendo'];The Legend of Zelda: Tears of the Kingdom is the sequel to The Legend of Zelda: Breath of the Wild. The setting for Link’s adventure has been expanded to include the skies above the vast lands of Hyrule.;['Nintendo Switch'];['Adventure'];4.6;4.3K;4.6K;
Chrome Dino;Sep 01, 2014;['Google'];Chrome Dino is a game easter egg in Google's Chrome web browser. It can be played by touching over the dinosaur or pressing the space bar when your internet connection goes down or by accessing chrome://dino/ on the web browser. /n The game is an endless runner. The objective is to jump over cacti an avoid pterodactyls flying in your direction.;['Web browser'];['Arcade'];3.5;16K;147;
Mario Kart 7;Dec 02, 2011;['Nintendo'];The seventh installment of the fan-favorite Mario Kart franchise brings Mushroom Kingdom racing fun into glorious 3D. For the first time, drivers explore new competitive kart possibilities, such as soaring through the skies or plunging to the depths of the sea. New courses, strategic new abilities and customizable karts bring the racing excitement to new heights.;['Nintendo 3DS'];['Racing'];3.5;11K;74;
Mario Party Superstars;Oct 28, 2021;['Nintendo'];Calling all Superstars! Mario Party is back with 5 classic boards from the Nintendo 64 Mario Party games. Frosting meets flowers as you race to get the most stars (and sabotage your opponents) on the Peach’s Birthday Cake board from the original Mario Party game. Or watch the countdown that unleashes Bowser Coin Beam and hold onto those coins on the Space Land board. The tides can turn quickly in Mario Party, so stay vigilant, partygoers. This and all other modes can be played online, too!;['Nintendo Switch'];['Card & Board Game'];3.7;4.5K;137;
Super Mario Maker 2;Jun 28, 2019;['Nintendo'];A side-scrolling Mario adventure that unleashes the creative potential of Super Mario Maker 2 awaits in Story Mode, which contains over 100 built-in courses. And in Course Maker, a wide range of parts, tools, and more are available so you can construct your own courses. Want coin-shooting cannons? Bowser riding on a giant Goomba? Cat Mario sliding down slopes to take out an army of baddies? Go for it! You call the shots. Pass a Joy-Con controller to a partner to build co-operatively on a single system!;['Nintendo Switch'];['Platform'];3.7;7.4K;122;
Shin Megami Tensei: Persona;Oct 22, 2009;['Atlus'];Persona is a philosophical game that takes place in a world close to our own. It is a departure from the typical swords and sorcery, and it delivers a tale of dreams, the purpose of life, and who we are as individuals. In Persona you have modern weapons like an Uzi and an AK-47. And instead of always fighting monsters, you are given the opportunity to talk your way through a confrontation. By talking things out, you can earn components of spells the more components you have, the more powerful your spells become.;['PlayStation Portable'];['RPG'];2.9;2.8K;183;
Chrono Trigger;Nov 20, 2008;['Square Enix'];When a newly developed teleportation device malfunctions at the Millennial Fair, young Crono must travel through time to rescue his misfortunate companion from an intricate web of past and present perils. The swashbuckling adventure that ensues soon unveils an evil force set to destroy the world, triggering Crono's race against time to change the course of history and bring about a brighter future.;['Nintendo DS'];['Adventure'];4.5;2.8K;150;
Super Mario Maker;Sep 10, 2015;['Nintendo'];Super Mario Maker lets people’s imaginations run wild. For the first time ever, friends can have fun playing through levels they create for one another. The Wii U GamePad controller makes it so easy for anyone to create levels, it may feel like simply sketching out ideas on paper. Players can enjoy a seemingly endless supply of inventive Mario levels from players around the world. /n The game includes a book totaling about 100 pages that illustrates the boundless possibilities in Super Mario Maker. Nintendo will also release two special Mario amiibo figures to celebrate the 30th anniversary of the original Super Mario Bros. game. Tapping these amiibo in Super Mario Maker adds a Big Mushroom power-up to your course, allowing Mario to grow big and bust blocks from any direction, as well as adding a retro visual filter to the game, reminiscent of older cathode ray tube televisions. In addition, many other amiibo will also be compatible with Super Mario Maker through the use of a new item called the Mystery Mushroom. This item allows Mario to take the appearance of many other characters, such as Link, Kirby or Wii Fit Trainer, complete with character-specific animations and sound effects. These character costumes can be unlocked by completing the 100 Mario Challenge mode and many can also be unlocked if the player taps the amiibo of the character to the Wii U GamePad.;['Wii U'];['Platform'];3.7;6.3K;11;
Master Detective Archives: Rain Code;Jun 30, 2023;['Spike ChunSoft'];A brand new dark fantasy detective action game from the minds behind the Danganronpa series! Yuma, an amnesiac detective-in-training, and Shinigami, the spirit haunting him, tackle unsolved mysteries in a strange city caged by unending rain.;['Nintendo Switch'];['Adventure'];N/A;6;2;
Live A Live;Sep 02, 1994;['Square'];Live A Live's story is split across seven seemingly unrelated chapters that can be played in any order, based on popular genres such as Western, science fiction, and mecha. Each chapter has its own plot, setting, and characters. Although the basic gameplay is the same throughout the game, each chapter adds a new factor to the basic formula, such as the stealth elements in the ninja chapter. After the first seven chapters are completed, two final chapters take place to establish the connection between the seven previous and resolve the story.;['Super Famicom'];['RPG'];4.2;614;42;
Silent Hill f;TBD;['Konami'];Silent Hill f is an upcoming game with a completely new story set in 1960's Japan featuring a beautiful, yet horrifying world.;[];[];2.0;9;0;
Metaphor Re Fantazio;TBD;[];;[];[];N/A;0;0;
