TITULO_JUEGO,FECHA_LANZAMIENTO,CLASIFICACION_ESRB,RATING,JUEGOS_FINALIZADOS,JUGANDO,NOM_GENERO,NOM_PLATAFORMA,NOM_DESARROLLADOR,RESUMEN
The Legend of Zelda: Breath of the Wild,2017,E10+,9.7,5000000,2000000,Aventura,Nintendo Switch,Nintendo,Un mundo abierto lleno de aventuras y secretos por descubrir.
Elden Ring,2022,M,9.5,4000000,1500000,Accion RPG,PC,FromSoftware,Un RPG desafiante en un mundo abierto con jefes épicos.
Cyberpunk 2077,2020,M,7.8,3000000,800000,RPG Futurista,PC,CD Projekt Red,Una historia futurista en Night City con gran personalización.
Grand Theft Auto V,2013,M,9.6,10000000,3000000,Accion,PlayStation 5,Rockstar Games,Un juego de mundo abierto con múltiples personajes jugables.
Final Fantasy XVI,2023,T,8.9,2000000,900000,RPG,PlayStation 5,Square Enix,Una nueva entrega con batallas espectaculares y una historia épica.
Mario Kart 8 Deluxe,2017,E,9.2,6000000,2500000,Carreras,Nintendo Switch,Nintendo,Divertidas carreras con los personajes clásicos de Mario.
Assassin's Creed Valhalla,2020,M,8.4,2500000,700000,Aventura,PC,Ubisoft,Explora la era vikinga con combates intensos y exploración.
Red Dead Redemption 2,2018,M,9.8,5000000,1200000,Aventura,PlayStation 5,Rockstar Games,Un western de mundo abierto con una narrativa inolvidable.
Octopath Traveler II,2023,T,8.6,1200000,400000,RPG,Nintendo Switch,Square Enix,Una aventura con múltiples personajes y un estilo visual único.
Watch Dogs: Legion,2020,M,7.5,1500000,500000,Accion,PC,Ubisoft,Un juego de mundo abierto donde puedes reclutar a cualquier ciudadano.
Watch Dogs: Legion,2020,M,7.5,1500000,500000,Accion,PC,Ubisoft,Un juego de mundo abierto donde puedes reclutar a cualquier ciudadano.
Watch Dogs: Legion,2020,M,7.5,1500000,500000,Accion,PC,Ubisoft,Un juego de mundo abierto donde puedes reclutar a cualquier ciudadano.
